Alabama,AL,4822023,1.53
Alaska,AK,731449,0.23
Arizona,AZ,6553255,2.04
Arkansas,AR,2949131,0.93
California,CA,38041430,11.91
Colorado,CO,5187582,1.61
Connecticut,CT,3590347,1.14
Delaware,DE,917092,0.29
Florida,FL,19317568,6.01
Georgia,GA,9919945,3.1
Hawaii,HI,1392313,0.43
Idaho,ID,1595728,0.51
Illinois,IL,12875255,4.1
Indiana,IN,6537334,2.07
Iowa,IA,3074186,0.97
Kansas,KS,2885905,0.91
Kentucky,KY,4380415,1.39
Louisiana,LA,4601893,1.45
Maine,ME,1329192,0.42
Maryland,MD,5884563,1.85
Massachusetts,MA,6646144,2.09
Michigan,MI,9883360,3.16
Minnesota,MN,5379139,1.7
Mississippi,MS,2984926,0.95
Missouri,MO,6021988,1.91
Montana,MT,1005141,0.32
Nebraska,NE,1855525,0.58
Nevada,NV,2758931,0.86
New Hampshire,NH,1320718,0.42
New Jersey,NJ,8864590,2.81
New Mexico,NM,2085538,0.66
New York,NY,19570261,6.19
North Carolina,NC,9752073,3.05
North Dakota,ND,699628,0.21
Ohio,OH,11544225,3.69
Oklahoma,OK,3814820,1.2
Oregon,OR,3899353,1.22
Pennsylvania,PA,12763536,4.06
Rhode Island,RI,1050292,1.19
South Carolina,SC,4723723,0.34
South Dakota,SD,833354,1.48
Tennessee,TN,6456243,0.26
Texas,TX,26059203,2.03
Utah,UT,2855287,8.04
Vermont,VT,626011,0.88
Virginia,VA,8185867,0.2
Washington,WA,6897012,2.56
West Virginia,WV,1855413,2.15
Wisconsin,WI,5726398,0.59
Wyoming,WY,576412,1.82
